ANTTV-WPHL,10.165.1.111,239.5.4.52
ASPIR,10.165.1.87,239.5.17.124
ARCH,10.165.1.121,239.5.0.199
ART,10.165.1.87,239.5.8.59
ANTTV-WPIX,10.165.1.111,239.5.4.51
ANTTV-WTIC,10.165.1.111,239.5.4.53
AZTCA,10.165.1.89,239.5.8.18
ANT3,10.165.1.87,239.5.8.249
AFRO-PLUS,10.165.1.85,239.5.8.69
ADLT,10.165.1.85,239.5.0.155
ANT,10.165.1.87,239.5.8.27
42AE,10.165.1.121,239.5.0.240
21WLD,10.165.1.111,239.5.4.1
21CRT,10.165.1.109,239.5.4.2
WWSIH,10.165.0.201,239.5.4.111
YESHD-LITCH,10.165.0.111,239.5.16.179
13KDS,10.165.1.109,239.5.4.11
YESHD,10.165.0.109,239.5.16.178
WVITH,10.165.0.201,239.5.4.45
WXTVH,10.165.0.203,239.5.4.31
WUVPH,10.165.0.201,239.5.4.35
WUVNH,10.165.0.199,239.5.4.34
WPIXH-SPLIT,10.165.0.217,239.5.4.15
WTXFH,10.165.0.199,239.5.4.62
WPXNH,10.165.0.199,239.5.4.19
WPIXH,10.165.0.197,239.5.4.15
WPPXH,10.165.0.197,239.5.4.28
WPIXH-RAW,10.165.0.215,239.5.4.15
WNYJH,10.165.0.197,232.9.4.116
WNJUH-RAW,10.165.0.215,239.5.4.18
WNJUH,10.165.0.195,239.5.4.18
WILDH,10.165.0.107,239.5.17.13
WLNYH-RAW,10.165.0.213,239.5.4.55
WJLPH,10.165.0.195,232.9.4.114
WLNYH-SPLIT,10.165.0.211,239.5.4.55
WLNYH,10.165.0.195,239.5.4.55
WFMZH,10.165.0.191,239.5.4.30
WHPXH,10.165.0.193,239.5.4.26
WFSB,10.165.0.193,239.5.4.48
WEHD,10.165.0.107,239.5.16.211
WGNHD,10.165.0.107,232.9.17.139
WEAHD-WAPP-DUTCH,10.165.0.171,239.5.17.37
WEDWH,10.165.0.191,239.5.4.54
WEAHD-WALL-SEA,10.165.0.171,239.5.17.42
WEAHD-WC,10.165.0.171,239.5.17.38
WEAHD-ROCKL,10.165.0.169,239.5.17.46
WEAHD-ORANGE,10.165.0.169,239.5.17.45
WEAHD-RARITAN,10.165.0.169,239.5.17.43
